;-10;0.25;-0.37037;-2.6943;10;-0.0154271;2.6943;0.25;0.0154271;0.19245;0.37037
-10;;-10;0.25;10;10;-2.6943;0.25;2.6943;-2;0.0154271;-0.0154271
0.25;-10;;-10;10;-2.6943;10;0.0154271;-2;2.6943;0.25;-0.0154271
-0.37037;0.25;-10;;-2.6943;-0.0154271;10;0.19245;0.0154271;0.25;2.6943;0.37037
-2.6943;10;10;-2.6943;;0.25;0.25;0.37037;-0.0154271;-0.0154271;0.37037;0.19245
10;10;-2.6943;-0.0154271;0.25;;-2;10;10;-2.6943;-0.0154271;0.25
-0.0154271;-2.6943;10;10;0.25;-2;;-0.0154271;-2.6943;10;10;0.25
2.6943;0.25;0.0154271;0.19245;0.37037;10;-0.0154271;;-10;0.25;-0.37037;-2.6943
0.25;2.6943;-2;0.0154271;-0.0154271;10;-2.6943;-10;;-10;0.25;10
0.0154271;-2;2.6943;0.25;-0.0154271;-2.6943;10;0.25;-10;;-10;10
0.19245;0.0154271;0.25;2.6943;0.37037;-0.0154271;10;-0.37037;0.25;-10;;-2.6943
0.37037;-0.0154271;-0.0154271;0.37037;0.19245;0.25;0.25;-2.6943;10;10;-2.6943;
